REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
IG2213P,IG2213P,1673,8606,10,1,Instruction_ID,Text,0,25,26,1,1,RptDetailLine001,99999999AAAAAAA9AAA9999999           999-9-999999                       99.99    AAAAAAA9AAA-9999999999999999999999999999999999  99                                                                  *
IG2213P,IG2213P,1673,8606,10,2,Acc_no,Text,37,58,22,1,1,RptDetailLine001,99999999AAAAAAA9AAA9999999           999-9-999999                       99.99    AAAAAAA9AAA-9999999999999999999999999999999999  99                                                                  *
IG2213P,IG2213P,1673,8606,10,5,tx_cd,DigitCode,129,130,2,1,1,RptDetailLine001,99999999AAAAAAA9AAA9999999           999-9-999999                       99.99    AAAAAAA9AAA-9999999999999999999999999999999999  99                                                                  *
IG2215P,IG2215P,1677,3052,9,2,RECEIVING_ACCOUNT_NO,Text,38,51,14,1,1,RptDetailsLine001,99999999AAAAAAA9AAA9999999            999-999999-999                       99.99    AAAAAAA9AAA-9999999999                           99                                  AAAAAAAA                     *
IG2221P,IG2221P,1685,8309,10,1,RECEIVING_ACCOUNT_NO,Text,0,13,14,1,1,RptDetailsLine001,"999-999999-999                                  AAA                      A      999,999,999.99     99/99/9999                             99999999  *AAAAAAAA   AAA                                   *"
IG2222P,IG2222P,1686,3100,7,1,ORIGINATING_ACCOUNT_NO,Mask,0,15,16,1,1,RptDetailsLine001,999-999999-999   AAAAAAA              AAAAAAA9AAA-9999AAAAAAAAA                      99                  999.99AA                                     A            *
IG2247P,IG2247P,1717,3029,8,3,ORIGINATING_BRH_ACC,Text,36,51,16,1,1,RptDetails001,"99999999AAAAAAA9AAA9999999          999-999999-999        AAAAAAA9AAA-99999999999999                     99                 9,999.99                           999999999                             *"
IG2247P,IG2247P,1717,3029,9,6,RTN_CD,Integer,133,137,5,1,1,RptDetails002,A                                   AAAA  A A AAAAAA      AAA A                                          AAAA                        9999    AAAAAAAAAAA AAAAAAAAAAAAAAAAA                           *
IG2248P,IG2248P,1718,8596,8,1,Instruction_ID,Text,0,34,35,1,1,RptDetailLine001,99999999AAAAAAA9AAA999999999999AAAA  AAAAAAAAAAA-9999999999999999999999999999999999   999-9999999AAAAAAAAA              999.99  99   AAAA   9999     AAAAAAA AAAAAAAAA AAAAAAA AA                     *
IG2248P,IG2248P,1718,8596,8,2,Bank_bic_acc_no,Text,37,82,46,1,1,RptDetailLine001,99999999AAAAAAA9AAA999999999999AAAA  AAAAAAAAAAA-9999999999999999999999999999999999   999-9999999AAAAAAAAA              999.99  99   AAAA   9999     AAAAAAA AAAAAAAAA AAAAAAA AA                     *
IG2249P,IG2249P,1719,3027,7,5,ORIGINATING_Acc_NO,Text,31,46,16,1,1,RPT_HEADER003,AAAAAAAAAAA AAAAAAA AA. :       999-999999-999  AAAA :                                                                                                                                                *
IG2249P,IG2249P,1719,3027,8,12,BATCH_NO,Text,70,79,10,1,1,RPT_HEADER004,AAAA AAAAAAAAA : 99/99/9999    AAAAA AAAA : 99/99/9999     AAAAA AA : 999           AAAAAAAA AAA :                                                                                                    *
IG2249P,IG2249P,1719,3027,12,7,RECEIVING_BRH_ACCT_NO,Text,11,56,46,1,1,RPT_LINE001,        9  AAAAAAA9AAA-999999999999                       AAAA                 99 AAAA                99.99 AAAA999999999999                                                                          *
IG2299IP,IG2299IP:OA Dr Reversl Unsucc RA Cr-In-House Giro,47304,9629,5,5,OA_Acct_no,Text,16,45,30,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299IP,IG2299IP:OA Dr Reversl Unsucc RA Cr-In-House Giro,47304,9629,5,9,OA_NAME,Text,62,82,21,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299IP,IG2299IP:OA Dr Reversl Unsucc RA Cr-In-House Giro,47304,9629,8,2,ra_account_no,Text,3,32,30,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299IP,IG2299IP:OA Dr Reversl Unsucc RA Cr-In-House Giro,47304,9629,8,3,ra_name,Text,38,57,20,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P1,IG2299P1:OA Dr Reversl Unsucc RA Cr-Normal Giro,47301,9625,5,5,OA_Acct_no,Text,16,45,30,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299P1,IG2299P1:OA Dr Reversl Unsucc RA Cr-Normal Giro,47301,9625,5,9,OA_NAME,Text,62,82,21,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
IG2299P1,IG2299P1:OA Dr Reversl Unsucc RA Cr-Normal Giro,47301,9625,8,2,ra_account_no,Text,3,32,30,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P1,IG2299P1:OA Dr Reversl Unsucc RA Cr-Normal Giro,47301,9625,8,3,ra_name,Text,38,57,20,1,1,RptDetailLine003,9  999999999999                       AAAAA9                AAAAAAAAAA AAAAAAAAAAA                AAAA                        9.99  *
IG2299P2,IG2299P2:OA Dr Reversl Unsucc RA Cr-Normal Giro2nd,47302,9627,5,5,OA_Acct_no,Text,16,45,30,1,1,RptDetailLine001,AA AAAAAAA AA : 999999999999                        AA AAAA : AAA AAAA AAA9          AAAAAA : 99999999   AA AAAAAAA : A             *
